,bid,message,originalTS,queue,requestee,requester,status,timeSinceStart
29,,None,1559861655773,"[1, 2, 3, 4, 5, 6, 7, 8]",3,4,declined,35.5460000038147
30,,None,1559861657654,"[1, 2, 3, 4, 5, 6, 7, 8]",4,5,declined,37.42700004577637
31,,None,1559861657819,"[1, 2, 3, 4, 5, 6, 7, 8]",6,7,declined,37.59700012207031
32,,None,1559861659454,"[1, 2, 3, 4, 5, 6, 7, 8]",3,4,declined,39.22699999809265
33,,None,1559861661934,"[1, 2, 3, 4, 5, 6, 7, 8]",4,5,declined,41.70700001716614
34,,None,1559861664423,"[1, 2, 3, 4, 5, 6, 7, 8]",4,5,declined,44.19600009918213
35,,None,1559861670128,"[1, 2, 3, 4, 5, 6, 7, 8]",4,5,declined,49.901000022888184
36,,None,1559861670828,"[1, 2, 3, 4, 5, 6, 7, 8]",6,7,declined,50.60600018501282
37,,None,1559861672588,"[1, 2, 3, 4, 5, 6, 7, 8]",5,6,declined,52.366000175476074
38,,None,1559861674183,"[1, 2, 3, 4, 5, 6, 7, 8]",7,8,declined,53.926000118255615
39,,None,1559861674440,"[1, 2, 3, 4, 5, 6, 7, 8]",4,5,declined,54.21300005912781
40,,None,1559861678580,"[1, 2, 3, 4, 5, 6, 7, 8]",5,6,declined,58.35800004005432
41,,,1559861689852,"[1, 2, 3, 4, 5, 6, 7, 8]",5,6,cancelled,69.63000011444092
42,,None,1559861706408,"[1, 2, 3, 4, 5, 6, 7, 8]",7,8,declined,86.15100002288818
43,,None,1559861767059,"[1, 2, 3, 4, 5, 6, 7, 8]",3,4,declined,6.430999994277954
44,1.50,None,1559861768397,"[2, 1, 3, 4, 5, 6, 7, 8]",1,2,accepted,7.795000076293945
45,,,1559861774148,"[2, 1, 3, 4, 6, 5, 7, 8]",1,3,cancelled,13.532000064849854
46,,None,1559861774605,"[2, 1, 3, 4, 6, 5, 7, 8]",7,8,declined,13.980000019073486
47,0.50,None,1559861780001,"[2, 1, 3, 4, 6, 5, 7, 8]",5,6,accepted,19.4689998626709
48,1.00,None,1559861792290,"[2, 1, 3, 4, 6, 5, 8, 7]",7,8,accepted,31.664999961853027
49,,None,1559861793529,"[2, 1, 3, 4, 6, 5, 8, 7]",4,6,declined,32.996999979019165
50,,None,1559861795883,"[2, 1, 3, 4, 6, 5, 8, 7]",3,4,declined,35.25499987602234
51,,None,1559861800721,"[2, 1, 3, 4, 6, 5, 8, 7]",4,6,declined,40.18899989128113
52,,None,1559861810300,"[2, 1, 3, 4, 6, 5, 8, 7]",8,7,declined,49.674999952316284
53,,None,1559861811266,"[2, 1, 3, 4, 6, 5, 8, 7]",4,6,declined,50.73399996757507
54,,None,1559861821827,"[2, 1, 3, 4, 6, 5, 8, 7]",8,7,declined,61.20199990272522
55,0.60,None,1559861836915,"[2, 1, 3, 4, 6, 5, 7, 8]",8,7,accepted,76.28999996185303
56,,,1559861904218,"[1, 2, 3, 4, 5, 6, 7, 8]",3,4,declined,2.169999837875366
57,,,1559861904669,"[1, 2, 3, 4, 5, 7, 6, 8]",6,7,accepted,2.6669998168945312
58,,,1559861907825,"[1, 2, 3, 4, 5, 6, 7, 8]",1,2,declined,5.771000146865845
59,,please,1559861909737,"[1, 2, 3, 4, 5, 6, 7, 8]",3,4,declined,7.688999891281128
60,,,1559861911994,"[1, 2, 3, 4, 5, 7, 6, 8]",2,3,declined,9.94599986076355
61,,give u yerba,1559861916281,"[1, 2, 3, 4, 5, 7, 6, 8]",4,5,declined,14.254999876022339
62,,,1559861920471,"[1, 2, 3, 4, 5, 7, 6, 8]",2,3,declined,18.4229998588562
63,,pls,1559861922026,"[1, 2, 3, 4, 5, 7, 8, 6]",6,8,accepted,20.09599995613098
64,,pls,1559861922993,"[1, 2, 3, 4, 5, 7, 6, 8]",4,5,declined,20.967000007629395
65,,ill swap back i swear,1559861927607,"[1, 2, 3, 4, 5, 7, 8, 6]",2,3,declined,25.55900001525879
66,,help,1559861928138,"[1, 2, 3, 4, 5, 7, 8, 6]",4,5,declined,26.111999988555908
67,,,1559861932018,"[1, 2, 3, 4, 5, 7, 8, 6]",4,5,declined,29.991999864578247
68,,hi,1559861935274,"[1, 2, 3, 4, 5, 7, 8, 6]",4,5,declined,33.24799990653992
69,,$$$$,1559861938786,"[1, 2, 3, 4, 5, 7, 8, 6]",3,4,declined,36.73799991607666
70,,swap,1559861939044,"[1, 2, 3, 4, 5, 7, 8, 6]",5,7,declined,37.01799988746643
71,,,1559861944435,"[1, 2, 3, 4, 5, 7, 8, 6]",3,4,cancelled,42.38699984550476
72,,^_^,1559861952795,"[1, 2, 3, 4, 5, 7, 8, 6]",7,8,declined,50.86500000953674
73,,,1559861953434,"[1, 2, 3, 4, 5, 7, 8, 6]",4,5,cancelled,51.407999992370605
74,,yes,1559861963973,"[1, 2, 3, 4, 5, 7, 8, 6]",5,7,declined,61.94700002670288
75,,yes,1559861970294,"[1, 2, 3, 4, 5, 7, 8, 6]",5,7,declined,68.26799988746643
76,,,1559861978843,"[1, 2, 3, 4, 5, 7, 8, 6]",7,8,cancelled,76.91299986839294
